Timestamp,Client IP,Domain,Mode,Server_IP,Step,Response type,RTT(s),Cache Status,Cumulative Time(ms),Cumulative Bytes
2025-10-28 10:11:36,10.0.0.254,mobile.events.data.microsoft.com.,Recursive,8.8.8.8,Root,Response,46.7005,MISS,46.7005,273
2025-10-28 10:11:40,10.0.0.254,main.vscode-cdn.net.,Recursive,8.8.8.8,Root,Response,75.2369,MISS,75.2369,280
2025-10-28 10:11:46,10.0.0.254,metadata.google.internal.,Recursive,8.8.8.8,Root,Referral,81.5831,MISS,81.5831,201
2025-10-28 10:11:46,10.0.0.254,metadata.google.internal.,Recursive,-,N/A,Failure,None,MISS,81.5831,201
2025-10-28 10:11:46,10.0.0.254,metadata.google.internal.,Recursive,-,Cache,Response,None,HIT,0,0
2025-10-28 10:11:47,10.0.0.254,metadata.google.internal.,Recursive,-,Cache,Response,None,HIT,0,0
2025-10-28 10:11:48,10.0.0.254,metadata.google.internal.,Recursive,-,Cache,Response,None,HIT,0,0
2025-10-28 10:11:57,10.0.0.254,default.exp-tas.com.,Recursive,8.8.8.8,Root,Response,35.8227,MISS,35.8227,193
2025-10-28 10:12:28,10.0.0.2,likeminded.ca.,Recursive,8.8.8.8,Root,Response,455.3298,MISS,455.3298,109
2025-10-28 10:12:31,10.0.0.2,alltransport.ru.,Recursive,8.8.8.8,Root,Response,83.2569,MISS,83.2569,115
2025-10-28 10:12:35,10.0.0.2,brown.edu.,Recursive,8.8.8.8,Root,Response,295.6993,MISS,295.6993,97
2025-10-28 10:12:35,10.0.0.254,default.exp-tas.com.,Recursive,-,Cache,Response,None,HIT,0,0
2025-10-28 10:12:38,10.0.0.2,fauzanalfi.com.,Recursive,8.8.8.8,Root,Referral,94.901,MISS,94.901,160
2025-10-28 10:12:38,10.0.0.2,fauzanalfi.com.,Recursive,-,N/A,Failure,None,MISS,94.901,160
2025-10-28 10:12:41,10.0.0.254,westus-0.in.applicationinsights.azure.com.,Recursive,8.8.8.8,Root,Response,94.4178,MISS,94.4178,324
2025-10-28 10:12:44,10.0.0.254,api.github.com.,Recursive,8.8.8.8,Root,Response,35.1266,MISS,35.1266,112
2025-10-28 10:12:47,10.0.0.2,supreetsethi.net.,Recursive,8.8.8.8,Root,Referral,40.5953,MISS,40.5953,175
2025-10-28 10:12:47,10.0.0.2,supreetsethi.net.,Recursive,-,N/A,Failure,None,MISS,40.5953,175
2025-10-28 10:12:47,10.0.0.254,api.github.com.,Recursive,-,Cache,Response,None,HIT,0,0
2025-10-28 10:12:50,10.0.0.2,gucenmez.com.,Recursive,8.8.8.8,Root,Response,40.8261,MISS,40.8261,122
2025-10-28 10:12:50,10.0.0.254,api.github.com.,Recursive,-,Cache,Response,None,HIT,0,0
2025-10-28 10:12:53,10.0.0.2,seedy.dk.,Recursive,8.8.8.8,Root,Response,32.3111,MISS,32.3111,94
2025-10-28 10:12:57,10.0.0.2,51cdngo.com.,Recursive,8.8.8.8,Root,Referral,980.4995,MISS,980.4995,151
2025-10-28 10:12:57,10.0.0.2,51cdngo.com.,Recursive,-,N/A,Failure,None,MISS,980.4995,151
2025-10-28 10:13:00,10.0.0.2,simple-health-reports.com.,Recursive,8.8.8.8,Root,Referral,38.8773,MISS,38.8773,202
2025-10-28 10:13:00,10.0.0.2,simple-health-reports.com.,Recursive,-,N/A,Failure,None,MISS,38.8773,202
2025-10-28 10:13:04,10.0.0.2,hivelocitymedia.com.,Recursive,8.8.8.8,Root,Response,327.2651,MISS,327.2651,143
2025-10-28 10:13:07,10.0.0.2,jabeye.org.,Recursive,8.8.8.8,Root,Response,403.2741,MISS,403.2741,100
2025-10-28 10:13:10,10.0.0.2,ticketbis.com.,Recursive,8.8.8.8,Root,Referral,228.9744,MISS,228.9744,156
2025-10-28 10:13:10,10.0.0.2,ticketbis.com.,Recursive,-,N/A,Failure,None,MISS,228.9744,156
2025-10-28 10:13:13,10.0.0.2,cellularfactory.com.,Recursive,8.8.8.8,Root,Response,71.6557,MISS,71.6557,127
2025-10-28 10:13:13,10.0.0.254,default.exp-tas.com.,Recursive,-,Cache,Response,None,HIT,0,0
2025-10-28 10:13:17,10.0.0.2,tsksv.ru.,Recursive,8.8.8.8,Root,Response,769.0996,MISS,769.0996,94
2025-10-28 10:13:17,10.0.0.254,westus-0.in.applicationinsights.azure.com.,Recursive,-,Cache,Response,None,HIT,0,0
2025-10-28 10:13:21,10.0.0.2,gaybodyblog.com.,Recursive,8.8.8.8,Root,Response,86.0674,MISS,86.0674,115
2025-10-28 10:13:24,10.0.0.2,datadikdki.net.,Recursive,8.8.8.8,Root,Response,340.916,MISS,340.916,128
2025-10-28 10:13:28,10.0.0.2,mumphi.de.,Recursive,8.8.8.8,Root,Response,364.7062,MISS,364.7062,97
2025-10-28 10:13:31,10.0.0.2,brfone.com.,Recursive,8.8.8.8,Root,Response,572.8256,MISS,572.8256,116
2025-10-28 10:13:35,10.0.0.2,newpages2u.com.,Recursive,8.8.8.8,Root,Response,261.9728,MISS,261.9728,112
2025-10-28 10:13:38,10.0.0.2,bigjournalism.com.,Recursive,8.8.8.8,Root,Response,42.2269,MISS,42.2269,137
2025-10-28 10:13:41,10.0.0.2,congsoxanh.com.,Recursive,8.8.8.8,Root,Response,44.8441,MISS,44.8441,128
2025-10-28 10:13:44,10.0.0.2,visualtap.com.,Recursive,8.8.8.8,Root,Response,36.5628,MISS,36.5628,109
2025-10-28 10:13:47,10.0.0.2,oberoncompany.com.,Recursive,8.8.8.8,Root,Response,46.2207,MISS,46.2207,137
2025-10-28 10:13:51,10.0.0.2,consejodentistas.org.,Recursive,8.8.8.8,Root,Response,341.3704,MISS,341.3704,130
2025-10-28 10:13:54,10.0.0.2,k-dsl.de.,Recursive,8.8.8.8,Root,Referral,226.0531,MISS,226.0531,141
2025-10-28 10:13:54,10.0.0.2,k-dsl.de.,Recursive,-,N/A,Failure,None,MISS,226.0531,141
2025-10-28 10:13:57,10.0.0.2,asip.es.,Recursive,8.8.8.8,Root,Referral,48.5999,MISS,48.5999,130
2025-10-28 10:13:57,10.0.0.2,asip.es.,Recursive,-,N/A,Failure,None,MISS,48.5999,130
2025-10-28 10:14:01,10.0.0.2,androgyn.org.,Recursive,8.8.8.8,Root,Response,385.481,MISS,385.481,106
2025-10-28 10:14:04,10.0.0.2,panaceadream.com.,Recursive,8.8.8.8,Root,Referral,345.8778,MISS,345.8778,175
2025-10-28 10:14:04,10.0.0.2,panaceadream.com.,Recursive,-,N/A,Failure,None,MISS,345.8778,175
2025-10-28 10:14:07,10.0.0.2,hotel.ch.,Recursive,8.8.8.8,Root,Response,52.3462,MISS,52.3462,110
2025-10-28 10:14:11,10.0.0.2,c3budiman.tk.,Recursive,8.8.8.8,Root,Referral,176.6192,MISS,176.6192,150
2025-10-28 10:14:11,10.0.0.2,c3budiman.tk.,Recursive,-,N/A,Failure,None,MISS,176.6192,150
2025-10-28 10:14:14,10.0.0.2,obtscan.com.,Recursive,8.8.8.8,Root,Referral,43.7266,MISS,43.7266,160
2025-10-28 10:14:14,10.0.0.2,obtscan.com.,Recursive,-,N/A,Failure,None,MISS,43.7266,160
2025-10-28 10:14:18,10.0.0.2,phoenix-music.ru.,Recursive,8.8.8.8,Root,Referral,857.6629,MISS,857.6629,163
